date,name,seq,,,,
2012.09.04 ,고1 학력평가 ,134,,,,
2012.06.07 ,고1 학력평가 ,130,,,,
2012.03.14 ,고1 학력평가 ,125,,,,
2011.11.15 ,고1 학력평가 ,119,,,,
2011.09.01 ,고1 학력평가 ,115,,,,
2011.06.15 ,고1 학력평가 ,111,,,,
2011.03.10 ,고1 학력평가 ,105,,,,
2010.11.23 ,고1 학력평가 ,104,,,,
2010.09.16 ,고1 학력평가 ,100,,,,
2010.06.16 ,고1 학력평가 ,96,,,,
2010.03.10 ,고1 학력평가 ,90,,,,
2009.11.17 ,고1 학력평가 ,87,,,,
2009.09.17 ,고1 학력평가 ,82,,,,
2009.06.17 ,고1 학력평가 ,76,,,,
2009.03.11 ,고1 학력평가 ,71,,,,
2008.11.18 ,고1 학력평가 ,68,,,,
2008.09.18 ,고1 학력평가 ,64,,,,
2008.06.12 ,고1 학력평가 ,60,,,,
2008.03.12 ,고1 학력평가 ,56,,,,
2007.09.20 ,고1 학력평가 ,51,,,,
2007.06.13 ,고1 학력평가 ,48,,,,
2007.03.14 ,고1 학력평가 ,44,,,,
2006.09.20 ,고1 학력평가 ,39,,,,
2006.06.01 ,고1 학력평가 ,34,,,,
2006.03.09 ,고1 학력평가 ,30,,,,
2005.09.28 ,고1 학력평가 ,26,,,,
2005.06.09 ,고1 학력평가 ,23,,,,
2004.11.09 ,고1 학력평가 ,17,,,,
2004.09.16 ,고1 학력평가 ,14,,,,
2004.06.09 ,고1 학력평가 ,11,,,,
